Date:       17/06/20,,,,,,,,,,,
Time:       18:24,,,,,,,,,,,
Units used: mm,,,,,,,,,,,
,,,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
C10,Capacitor 0805,TopLayer,C0805,48.8315,98.298,360,CCAP0805,48.8315,98.298,47.9815,98.298
C3,Capacitor 0805,TopLayer,C0805,65.278,100.9941,360,CCAP0805,65.278,100.9941,64.428,100.9941
C5,Capacitor 0805,TopLayer,C0805,32.131,68.961,270,CCAP0805,32.131,68.961,32.131,69.811
C6,Capacitor 0805,TopLayer,C0805,56.758,100.9941,180,CCAP0805,56.758,100.9941,57.608,100.9941
C7,Capacitor 0805,TopLayer,C0805,44.704,98.298,180,CCAP0805,44.704,98.298,45.554,98.298
C8,Capacitor 0805,TopLayer,C0805,60.96,98.298,180,CCAP0805,60.96,98.298,61.81,98.298
C9,Capacitor 0805,TopLayer,C0805,35.179,74.168,270,CCAP0805,35.179,74.168,35.179,75.018
D2,LED,TopLayer,R0805,36.3855,98.298,0,LED,36.3855,98.298,37.2855,98.298
P1,BlueTooth-Module,TopLayer,HDR6X1_2P54SMT,74.042,66.929,270,"Header, 6-Pin",74.042,66.929,75.692,73.279
R1,Resistor 0805,TopLayer,R0805,69.469,100.9941,360,RES0805,69.469,100.9941,68.569,100.9941
R10,Resistor 0805,TopLayer,R0805,37.73,68.961,90,RES0805,37.73,68.961,37.73,68.061
R11,Resistor 0805,TopLayer,R0805,35.041,68.961,270,RES0805,35.041,68.961,35.041,69.861
R2,Resistor 0805,TopLayer,R0805,65.278,98.298,360,RES0805,65.278,98.298,64.378,98.298
R4,Resistor 0805,TopLayer,R0805,37.857,74.168,90,RES0805,37.857,74.168,37.857,73.268
R5,Resistor 0805,TopLayer,R0805,40.513,98.298,360,RES0805,40.513,98.298,39.613,98.298
R6,Resistor 0805,TopLayer,R0805,56.758,98.298,180,RES0805,56.758,98.298,57.658,98.298
R7,Resistor 0805,TopLayer,R0805,66.305,74.168,90,RES0805,66.305,74.168,66.305,73.268
R8,Resistor 0805,TopLayer,R0805,68.845,74.168,270,RES0805,68.845,74.168,68.845,75.068
R9,Resistor 0805,TopLayer,R0805,64.262,68.834,90,RES0805,64.262,68.834,64.262,67.934
U1,ACS730,TopLayer,SOIC8,50.419,105.283,270,ACS730,50.419,105.283,52.324,107.733
